before free,after free,time
0.971756,0.19564,285
0.949655,0.17202,966
0.92629,0.153618,1128
0.900997,0.129554,1042
0.87578,0.102399,1054
0.854987,0.082809,1001
0.830138,0.0592054,1014
0.811118,0.037788,1032
0.783197,0.0132635,1208
0.770534,0.0507655,1347
0.803924,0.0294302,1347
0.780344,0.0105024,1184
0.761071,0.044589,1178
0.796575,0.0198152,1154
0.776875,0.057613,1227
0.807507,0.0349392,1171
0.781693,0.0115244,1076
0.759669,0.047812,1035
0.795507,0.0243095,1032
0.776537,0.00415267,991
